country_name,country_code,continent,area_km2,pm25_trend_ug_m3_per_year,pm25_trend_std,pm25_trend_median,pm25_trend_min,pm25_trend_max,pixel_count,pct_increasing,pct_decreasing
Turkmenistan,TKM,Asia,1294435.0,-0.009176703977068207,0.02033401320888183,-0.01046013146944587,-0.0849263842022965,0.04225824569418195,993,30.2,69.8
Cuba,CUB,North America,443401.0,-0.010748409444360755,0.0036921950200260296,-0.010916544102545545,-0.019719436607485524,0.0033319848375035124,195,1.0,99.0
United States of America,USA,North America,67731791.0,-0.011000863460158697,0.017497838651415527,-0.0063609616526169805,-0.05468967906030514,0.1811144689887142,22003,21.2,78.8
Ireland,IRL,Europe,168252.0,-0.01165253792851678,0.0016101912134976568,-0.011469478393634928,-0.015045305875013208,-0.006464804971437928,155,0.0,100.0
Estonia,EST,Europe,126145.0,-0.011987481369471194,0.00324080779619818,-0.011606762715852433,-0.020136877840725622,0.0015603242756460946,136,0.7,99.3
Japan,JPN,Asia,2886887.0,-0.012951474412226736,0.004929399197278693,-0.013303021162874951,-0.02730085745480222,-0.0017107664632984429,828,0.0,100.0
United Kingdom,GBR,Europe,989079.0,-0.01299546839884198,0.005355651921682956,-0.012766398097303962,-0.03785882398286642,-0.003736746368233496,676,0.0,100.0
North Korea,PRK,Asia,426707.0,-0.013995673356361852,0.004836472793344077,-0.014825971205327573,-0.024359560887829736,0.006129881823085582,265,1.1,98.9
Spain,ESP,Europe,1195026.0,-0.014185885869139579,0.004324950119333051,-0.014114135778140375,-0.034609689705095245,-0.0004351357817462774,1056,0.0,100.0
Portugal,PRT,Europe,210379.0,-0.016933272278064983,0.004955411347407282,-0.01611817476737847,-0.029925533644294552,-0.00748762631259009,192,0.0,100.0
Bosnia and Herz.,BIH,Europe,122555.0,-0.017264229177092465,0.00849196978228326,-0.01759790938695325,-0.03491830686894756,0.004490241238407786,114,2.6,97.4
Greece,GRC,Europe,549252.0,-0.017706714139901727,0.006791975235074201,-0.01687325954224135,-0.04171246952337541,0.01507245637258936,275,0.4,99.6
France,-99,Europe,38764937.0,-0.018701294697607094,0.007311998614998743,-0.01990604168372017,-0.04518502883099529,0.009381755646101084,1436,3.3,96.7
Ukraine,UKR,Europe,1561291.0,-0.019005004725555927,0.005246819796771464,-0.019424471025759907,-0.03955926134132425,-0.004910249091044507,1400,0.0,100.0
Belarus,BLR,Europe,567297.0,-0.019763017441577067,0.002331311213960859,-0.01971319605692356,-0.027842936429034452,-0.011661403495766262,554,0.0,100.0
Italy,ITA,Europe,1516890.0,-0.020754884162546883,0.009495047584222878,-0.018872442548015223,-0.04492970038953127,-0.003633218094450134,692,0.0,100.0
Lithuania,LTU,Europe,168153.0,-0.020799788112639453,0.002935300490036888,-0.02043831489172027,-0.030571558616266745,-0.014115825619916773,180,0.0,100.0
Latvia,LVA,Europe,206624.0,-0.021118553879452506,0.004267152188953427,-0.019165889942725195,-0.034141585530210405,-0.014045858628101307,185,0.0,100.0
Switzerland,CHE,Europe,111854.0,-0.02141656684103658,0.00784513968922245,-0.020478398222834576,-0.037610146338814855,-0.0073614287502996095,109,0.0,100.0
Serbia,SRB,Europe,201070.0,-0.021731974308682234,0.006491948673678191,-0.021746924630106367,-0.0407348018122468,-0.002969564249266345,171,0.0,100.0
Denmark,DNK,Europe,166064.0,-0.02299630714820195,0.001451561960369339,-0.022851403569875372,-0.026823757327765055,-0.019454428268090768,122,0.0,100.0
Austria,AUT,Europe,240920.0,-0.025151655180272472,0.009190876733752663,-0.02520243656060489,-0.043344436450848706,-0.007658659509198823,200,0.0,100.0
Croatia,HRV,Europe,284248.0,-0.0253998765623764,0.013782584595573378,-0.02505662835185699,-0.050356852719600574,-0.0034460999881702195,131,0.0,100.0
Romania,ROU,Europe,525290.0,-0.026107623060647723,0.0061871294500461796,-0.02532615244549814,-0.049014962747319195,-0.005358984923038999,545,0.0,100.0
Netherlands,NLD,Europe,125962.0,-0.0265339145033632,0.0038875890375013144,-0.02689771797779915,-0.03257619379432813,-0.016405385140557557,104,0.0,100.0
Moldova,MDA,Europe,124983.0,-0.026803174654400398,0.002292156386454778,-0.0271034148188586,-0.03437249157023551,-0.020920095140698827,78,0.0,100.0
Germany,DEU,Europe,854378.0,-0.029414935218303326,0.003137952813229093,-0.02996928769070756,-0.040494287706732066,-0.013000112896486195,909,0.0,100.0
Bulgaria,BGR,Europe,228374.0,-0.034289600555739194,0.010609929377824246,-0.03488751303945977,-0.06138774497818257,0.002492317661507758,243,0.8,99.2
Czechia,CZE,Europe,208747.0,-0.03583537017963848,0.007650859503147008,-0.035434211302651814,-0.06890014412383741,-0.017607990708293435,202,0.0,100.0
Poland,POL,Europe,714397.0,-0.03670577222466858,0.01200200939567841,-0.03338030192773303,-0.09226701352337775,-0.018289575369667223,808,0.0,100.0
Hungary,HUN,Europe,229688.0,-0.041004120785804433,0.007306859888389806,-0.04046866301499674,-0.058937470081050575,-0.02672729550627908,216,0.0,100.0
Slovakia,SVK,Europe,126849.0,-0.042320074758863284,0.006134696998433919,-0.043206362809207526,-0.05793263681828725,-0.020855252942185376,112,0.0,100.0
